音乐频道,#genre#
Stingray Classic Rock HD,https://stirr.ott-channels.stingray.com/101/master.m3u8
Stingray Alternative HD,https://stirr.ott-channels.stingray.com/102/master.m3u8
Stingray Pop Adult HD,https://stirr.ott-channels.stingray.com/104/master.m3u8
Stingray Hit List HD,https://stirr.ott-channels.stingray.com/107/master.m3u8
Stingray Hot Country HD,https://stirr.ott-channels.stingray.com/108/master.m3u8
Stingray Flashback 70S HD,https://stirr.ott-channels.stingray.com/115/master.m3u8
Stingray Remember The 80S HD,https://stirr.ott-channels.stingray.com/128/master.m3u8
Stingray Hip-Hop/R&B HD,https://stirr.ott-channels.stingray.com/133/master.m3u8
Stingray Soul Storm STORM HD,https://stirr.ott-channels.stingray.com/134/master.m3u8
Stingray Greatest Hits HD,https://stirr.ott-channels.stingray.com/155/master.m3u8
Stingray Exitos Del Momento HD,https://stirr.ott-channels.stingray.com/190/master.m3u8
Stingray Classica HD,https://stirr.ott-channels.stingray.com/iota-classica/index.m3u8
Stingray Jazz HD,https://stirr.ott-channels.stingray.com/djazz/master.m3u8
Stingray Karaoke HD,https://stirr.ott-channels.stingray.com/karaoke/master.m3u8
Stingray Qello TV HD,https://stirr.ott-channels.stingray.com/qello/master.m3u8
#__#
Sexy K-Pop[1280*720],https://srv1.zcast.com.br/kpoptv/kpoptv/.m3u8
kroneHit[1920*1080],https://bitcdn-kronehit.bitmovin.com/v2/hls/chunklist_b3128000.m3u8
#__#
MTV Yo![1280*720],http://pluto-live.plutotv.net/egress/chandler/pluto01/live/VIACBS01/master_2400.m3u8
MTV Biggest Pop[1280*720],http://pluto-live.plutotv.net/egress/chandler/pluto01/live/VIACBS02/master_2400.m3u8
MTV Block Party[1280*720],http://pluto-live.plutotv.net/egress/chandler/pluto01/live/VIACBS03/master_2400.m3u8
MTV Spankin' New[1280*720],http://pluto-live.plutotv.net/egress/chandler/pluto01/live/VIACBS07/master_2400.m3u8
MTV WMA[1280*720],http://pluto-live.plutotv.net/egress/chandler/pluto01/live/VIACBS08/master_2400.m3u8
