电视侠,#genre#
CCTV4K,http://iptv.tvfix.org/hls/cctv4k.m3u8
CCTV1,http://iptv.tvfix.org/hls/cctv1hd.m3u8
CCTV2,http://iptv.tvfix.org/hls/cctv2hd.m3u8
CCTV3,http://iptv.tvfix.org/hls/cctv3hd.m3u8
CCTV4,http://iptv.tvfix.org/hls/cctv4hd.m3u8
CCTV5,http://iptv.tvfix.org/hls/cctv5hd.m3u8
CCTV5+,http://iptv.tvfix.org/hls/cctv5phd.m3u8
CCTV6,http://iptv.tvfix.org/hls/cctv6hd.m3u8
CCTV7,http://iptv.tvfix.org/hls/cctv7hd.m3u8
CCTV8,http://iptv.tvfix.org/hls/cctv8hd.m3u8
CCTV9,http://iptv.tvfix.org/hls/cctv9hd.m3u8
CCTV10,http://iptv.tvfix.org/hls/cctv10hd.m3u8
CCTV11,http://iptv.tvfix.org/hls/cctv11hd.m3u8
CCTV12,http://iptv.tvfix.org/hls/cctv12hd.m3u8
CCTV13,http://iptv.tvfix.org/hls/cctv13hd.m3u8
CCTV14,http://iptv.tvfix.org/hls/cctv14hd.m3u8
CCTV15,http://iptv.tvfix.org/hls/cctv15hd.m3u8
CCTV16,http://iptv.tvfix.org/hls/cctv16hd.m3u8
CCTV17,http://iptv.tvfix.org/hls/cctv17hd.m3u8
CGTN,http://iptv.tvfix.org/hls/cgtnhd.m3u8
CGTNDocumentary,http://iptv.tvfix.org/hls/cgtndochd.m3u8
CGTN法语,http://iptv.tvfix.org/hls/cgtnfhd.m3u8
CGTN俄语,http://iptv.tvfix.org/hls/cgtnehd.m3u8
CGTN阿拉伯语,http://iptv.tvfix.org/hls/cgtnahd.m3u8
CGTN西班牙语,http://iptv.tvfix.org/hls/cgtnxhd.m3u8
#__#
北京卫视,http://iptv.tvfix.org/hls/brtv1hd.m3u8
湖南卫视,http://iptv.tvfix.org/hls/hunanhd.m3u8
浙江卫视,http://iptv.tvfix.org/hls/zjhd.m3u8
江苏卫视,http://iptv.tvfix.org/hls/jshd.m3u8
东方卫视,http://iptv.tvfix.org/hls/dfhd.m3u8
安徽卫视,http://iptv.tvfix.org/hls/ahhd.m3u8
黑龙江卫视,http://iptv.tvfix.org/hls/hljhd.m3u8
辽宁卫视,http://iptv.tvfix.org/hls/lnhd.m3u8
深圳卫视,http://iptv.tvfix.org/hls/szhd.m3u8
广东卫视,http://iptv.tvfix.org/hls/gdhd.m3u8
天津卫视,http://iptv.tvfix.org/hls/tjhd.m3u8
湖北卫视,http://iptv.tvfix.org/hls/hbhd.m3u8
山东卫视,http://iptv.tvfix.org/hls/sdhd.m3u8
重庆卫视,http://iptv.tvfix.org/hls/cqhd.m3u8
东南卫视,http://iptv.tvfix.org/hls/dnhd.m3u8
四川卫视,http://iptv.tvfix.org/hls/schd.m3u8
河北卫视,http://iptv.tvfix.org/hls/hebhd.m3u8
江西卫视,http://iptv.tvfix.org/hls/jxhd.m3u8
河南卫视,http://iptv.tvfix.org/hls/hnhd.m3u8
广西卫视,http://iptv.tvfix.org/hls/gxhd.m3u8
海南卫视,http://iptv.tvfix.org/hls/lyhd.m3u8
贵州卫视,http://iptv.tvfix.org/hls/gzhd.m3u8
吉林卫视,http://iptv.tvfix.org/hls/jlhd.m3u8
金鹰纪实,http://iptv.tvfix.org/hls/gedocu.m3u8
中国教育1台,http://iptv.tvfix.org/hls/cetv1hd.m3u8
#__#
BTV文艺,http://iptv.tvfix.org/hls/brtv2hd.m3u8
BTV科教,http://iptv.tvfix.org/hls/brtv3hd.m3u8
BTV影视,http://iptv.tvfix.org/hls/brtv4hd.m3u8
BTV财经,http://iptv.tvfix.org/hls/brtv5hd.m3u8
BTV生活,http://iptv.tvfix.org/hls/brtv7hd.m3u8
BTV青年,http://iptv.tvfix.org/hls/brtv8hd.m3u8
BTV新闻,http://iptv.tvfix.org/hls/brtv9hd.m3u8
卡酷动画,http://iptv.tvfix.org/hls/brtv10hd.m3u8
北京纪实,http://iptv.tvfix.org/hls/brtv11hd.m3u8
#__#
上视新闻频道,http://iptv.tvfix.org/hls/shxwzhhd.m3u8
东方影视,http://iptv.tvfix.org/hls/shdfyshd.m3u8
上海都市频道,http://iptv.tvfix.org/hls/shdspdhd.m3u8
上视外语频道,http://iptv.tvfix.org/hls/shwypdhd.m3u8
五星体育频道,http://iptv.tvfix.org/hls/wxtyhd.m3u8
MAX极速汽车,http://iptv.tvfix.org/hls/jsqchd.m3u8
劲爆体育,http://iptv.tvfix.org/hls/jbtyhd.m3u8
新视觉,http://iptv.tvfix.org/hls/xsjhd.m3u8
魅力足球,http://iptv.tvfix.org/hls/mlzqhd.m3u8
游戏风云,http://iptv.tvfix.org/hls/yxfyhd.m3u8
全纪实,http://iptv.tvfix.org/hls/qjshd.m3u8
上海纪实,http://iptv.tvfix.org/hls/docuchina.m3u8
CHC高清电影,http://iptv.tvfix.org/hls/chchd.m3u8
CHC家庭电影,http://iptv.tvfix.org/hls/chctv.m3u8
CHC动作电影,http://iptv.tvfix.org/hls/chcatv.m3u8
哈哈炫动,http://iptv.tvfix.org/hls/hhxdhd.m3u8
清华电视台,http://iptv.tvfix.org/hls/tsinghuatv.m3u8
金鹰卡通,http://iptv.tvfix.org/hls/jykttv.m3u8
优漫卡通,http://iptv.tvfix.org/hls/ymkttv.m3u8
新动漫,http://iptv.tvfix.org/hls/xdmtv.m3u8
足球频道,http://iptv.tvfix.org/hls/zqhd.m3u8
#__#
翡翠台(第1声道繁体),http://iptv.tvfix.org/hls/jade.m3u8
翡翠台(第2声道简体),http://iptv.tvfix.org/hls/jade2.m3u8
翡翠台海外版(粤语繁体),http://iptv.tvfix.org/hls/jadenhk.m3u8
翡翠台海外版(普通话简体),http://iptv.tvfix.org/hls/jadenhk2.m3u8
J2,http://iptv.tvfix.org/hls/j2.m3u8
J2(第2声道),http://iptv.tvfix.org/hls/j22.m3u8
无线新闻台,http://iptv.tvfix.org/hls/inews.m3u8
无线新闻台(第2声道),http://iptv.tvfix.org/hls/inews2.m3u8
明珠台,http://iptv.tvfix.org/hls/pearl.m3u8
明珠台(第2声道),http://iptv.tvfix.org/hls/pearl2.m3u8
