原力频道,#genre#
Channel V,p5p://fccs.123178.top:9906/6163e81300020e350da08bfaf7a3c756.ts
中天综合台,p5p://fccs.123178.top:9906/61494cc7000ea4840d6ccafbef48fe11.ts
中天亚洲,p5p://fccs.123178.top:9906/60449a27000cf419020d0e24d4fdafd9.ts
中天新闻,p5p://fccs.123178.top:9906/6174fe8b000be03302ae798f40145c4c.ts
中视新闻,p5p://fccs.123178.top:9906/615ceea900061b6e0c5469c546672e4d.ts
中视精彩,p5p://fccs.123178.top:9906/615cef2b000a183f0c56669a25583e1d.ts
中视经典台,p5p://fccs.123178.top:9906/615ceee60007b48e0c555876520737b3.ts
中视 HD,p5p://fccs.123178.top:9906/615cee84000470af0c53d8d0e6dede6c.ts
原民台,p5p://fccs.123178.top:9906/615cf0df00077fe20c5d0d102000e0a2.ts
有线娱乐台,p5p://fccs.123178.top:9906/615cf4490001e8c00c6a61b288746e22.ts
有线新闻,p5p://fccs.123178.top:9906/60ed1721000502290f99063cfc1e9344.ts
有线财经台,p5p://fccs.123178.top:9906/615cf3de000200420c68bfc0bce964e3.ts
有线603高清,p5p://fccs.123178.top:9906/60ed1cd4000297a20faf48d5542663e4.ts
有线18台,p5p://fccs.123178.top:9906/615cf3b20004e4390c68149d25db8dc8.ts
影迷数位纪实台,p5p://fccs.123178.top:9906/60494398000c2ccb1442ef592de01971.ts
影迷数字电影台,p5p://fccs.123178.top:9906/61a3a50e000236dc039317acd57d46a4.ts
壹新闻,p5p://fccs.123178.top:9906/61494a29000d70560d62917d35be0fae.ts
壹电影HD,p5p://fccs.123178.top:9906/60434a87000b209606cdef9cee9a8dfe.ts
壹电视综合台,p5p://fccs.123178.top:9906/60434b3c000edb9206d0b39856f672fd.ts
亚洲旅游,p5p://fccs.123178.top:9906/604405c80008412109a964c89ca82891.ts
星卫娱乐,p5p://fccs.123178.top:9906/6044229300000d0a0039f0b6a59d1511.ts
星卫HD电影,p5p://fccs.123178.top:9906/6044d33b0006a70302ec02a7d10a2600.ts
星空卫视,p5p://fccs.123178.top:9906/60463ee9000522e20878a1f4688ea89f.ts
香港有线电影,p5p://fccs.123178.top:9906/617138930009dc030dec78a404f11c9f.ts
卫视中文台,p5p://fccs.123178.top:9906/6045bbb2000922ef0678142229e89274.ts
卫视西片,p5p://fccs.123178.top:9906/604416620003377d000a521e160e3141.ts
卫视电影台,p5p://fccs.123178.top:9906/607318ce000ef9a107a827d158704e10.ts
纬来综合,p5p://fccs.123178.top:9906/614954e8000aa2000d8c8add3b487c6c.ts
纬来育乐,p5p://fccs.123178.top:9906/6044a24900005a2c022ccfba89cc1d77.ts
纬来戏剧,p5p://fccs.123178.top:9906/6044a124000716e6022858ec2ddd7840.ts
纬来体育HD,p5p://fccs.123178.top:9906/617505470005c9df02c8c6600f64eca5
纬来日本台,p5p://fccs.123178.top:9906/6044a02c000bf3c30224916a373cdb2c.ts
纬来精彩,p5p://fccs.123178.top:9906/6044a30800006812022fb9d6202c684d.ts
纬来电影,p5p://fccs.123178.top:9906/614959e10009f39d0d9ff75817774dbe.ts
天映频道,p5p://fccs.123178.top:9906/60441c660009af940021d366383a86ea.ts
探索亚洲频道,p5p://fccs.123178.top:9906/60433ee00002fb7906a0692e6558cb55.ts
探索频道,p5p://fccs.123178.top:9906/610b440f00018f2d04303511f19e7e5a.ts
探索科学,p5p://fccs.123178.top:9906/6043456f00065dec06ba08a499663c96.ts
探索家庭 EVE,p5p://fccs.123178.top:9906/60689d110008d7a31345719a76b95329.ts
探索动力 DMAX,p5p://fccs.123178.top:9906/6043467c000301e806be22909a147731.ts
CI,p5p://fccs.123178.top:9906/604947cc00047a751453588132b90a12.ts
台视综合,p5p://fccs.123178.top:9906/615cf1d90008f3590c60ddff48ad15c3.ts
台视新闻,p5p://fccs.123178.top:9906/615cf168000ad47e0c5f2512951989aa.ts
台视财经,p5p://fccs.123178.top:9906/615cf1970005cb4c0c5fdb60d7e44abc.ts
台视 HD,p5p://fccs.123178.top:9906/615cf10c0001987d0c5dbb55bf9bd6ed.ts
私人影院,p5p://fccs.123178.top:9906/612b76530005bddc0079e572c66e5249.ts
视纳华仁纪实台,p5p://fccs.123178.top:9906/61a39f8f000c8dac037da239539bebd9.ts
时尚疯高清频道,p5p://fccs.123178.top:9906/61318fef00087c22184def86f768df3e.ts
生命电视台,p5p://fccs.123178.top:9906/60463d9a0001f1630873848a76accc36.ts
三立综合台,p5p://fccs.123178.top:9906/60441aa3000729ad001af109e515adad.ts
三立新闻,p5p://fccs.123178.top:9906/61494b62000a82d50d67576561464ccf.ts
三立戏剧,p5p://fccs.123178.top:9906/60441b4f00036f62001d8ff40f884e87.ts
三立台湾台,p5p://fccs.123178.top:9906/60435a1000013bcc070a9c3b0ad870c7.ts
三立都会台,p5p://fccs.123178.top:9906/60435aa10002e65e070cd311539826d8.ts
三立财经,p5p://fccs.123178.top:9906/604496f8000b3b7b02009e1b5871dd53.ts
日本旅游频道,p5p://fccs.123178.top:9906/619def07000c53ce07363500e3cb011d.ts
人间卫视,p5p://fccs.123178.top:9906/60463f7d000802da087ae4d0305dfcaf.ts
霹雳台湾台,p5p://fccs.123178.top:9906/61494391000129760d48cc98263e39d1.ts
欧洲Euronews,p5p://fccs.123178.top:9906/6176aabc000c8d3309371923ea87bfc9.ts
年代新闻,p5p://fccs.123178.top:9906/618894540002fa6c0186e66d066b3e56.ts
年代MUCH,p5p://fccs.123178.top:9906/60449ce00006c4040217af361b6c5a1a.ts
民视新闻,p5p://fccs.123178.top:9906/61494a92000be20d0d642b3f9739874e.ts
民视台湾台,p5p://fccs.123178.top:9906/615cf04900025ed10c5ac1d0409f9eae.ts
民视第一台,p5p://fccs.123178.top:9906/615cf01d000b41120c5a18366221dad4.ts
民视 HD,p5p://fccs.123178.top:9906/615cefe0000b8a2b0c592a0127a8dd5a.ts
美亚高清电影台,p5p://fccs.123178.top:9906/61a3a1ff000317020387254db888dd63.ts
美食星球,p5p://fccs.123178.top:9906/604945ed00053a5b144c099a65029d36.ts
美国高尔夫球,p5p://fccs.123178.top:9906/60447654000dbd4101811e203ac3ee9f.ts
曼迪日本台,p5p://fccs.123178.top:9906/6068a12900029e3a13556dc2ad58c3d5.ts
龙祥电影台,p5p://fccs.123178.top:9906/6045bb31000469b906761b04cfa6bdb1.ts
龙华影剧,p5p://fccs.123178.top:9906/604347a3000cc1fe06c2a567b371c0d6.ts
龙华洋片,p5p://fccs.123178.top:9906/6044287d000e2bb500510e64fec426ab.ts
龙华戏剧,p5p://fccs.123178.top:9906/60442a110002751300573584bb335a71.ts
龙华偶像,p5p://fccs.123178.top:9906/60442ac30006b54f0059edebe8733672.ts
龙华动画,p5p://fccs.123178.top:9906/6044594300037550010f9116e9856cd9.ts
龙华电影,p5p://fccs.123178.top:9906/604426fa000c13eb004b26236e73affa.ts
历史频道H2,p5p://fccs.123178.top:9906/61a77490000a614c1275ad93036783a5.ts
历史频道,p5p://fccs.123178.top:9906/61a39ca40007837503723af7a7a9aeef.ts
狼谷竞技,p5p://fccs.123178.top:9906/6045b7460004ba730666cd212d07958d.ts
客家电视,p5p://fccs.123178.top:9906/615cf0b3000ee57c0c5c631584311880.ts
靖洋戏剧台,p5p://fccs.123178.top:9906/60441bcb000e6baf001f77240fd6acd8.ts
靖洋卡通台,p5p://fccs.123178.top:9906/60bd169300057f1b0955c9653d8db6ac.ts
靖天综合,p5p://fccs.123178.top:9906/614c7520000829c819c264fbe6b1d5dc.ts
靖天信息台,p5p://fccs.123178.top:9906/6045b93800071301066e670ba6925741.ts
靖天育乐,p5p://fccs.123178.top:9906/60469f430002fd3e09f100f732da02a0.ts
靖天映画,p5p://fccs.123178.top:9906/6045ba850003d28406737afe6daf6f4d.ts
靖天日本台,p5p://fccs.123178.top:9906/6045b8aa000389cf066c3b7385e82ede.ts
靖天卡通台,p5p://fccs.123178.top:9906/60bd172500015f0f095802a7f2bd13c9.ts
靖天欢乐台,p5p://fccs.123178.top:9906/60c5a564000c898610c85d82cfc3a4e3.ts
靖天国际,p5p://fccs.123178.top:9906/60bd140b000e6170094be86cd1b01e57.ts
靖天电影台,p5p://fccs.123178.top:9906/6045b9cc00094ab70670a9bc88048a82.ts
寰宇综合,p5p://fccs.123178.top:9906/60434cfa0008763606d78025a8321e46.ts
寰宇新闻台,p5p://fccs.123178.top:9906/60434bdc0009a41d06d32342bef082c3.ts
寰宇新闻二台,p5p://fccs.123178.top:9906/60434c6b000d588a06d552cd4d7910ec.ts
寰宇财经新闻新闻,p5p://fccs.123178.top:9906/60434e97000581d106ddccac446ea89d.ts
华艺影剧,p5p://fccs.123178.top:9906/61728417000b164612fb74944d3a5d26.ts
华艺MBC,p5p://fccs.123178.top:9906/604421d400072b6600370871d6641107.ts
华视信息,p5p://fccs.123178.top:9906/615cf34d0005241b0c668a26a861e2c8.ts
华视体育文化,p5p://fccs.123178.top:9906/615cf2bd000248ec0c6456eae60c58dc.ts
华视 HD,p5p://fccs.123178.top:9906/615cf279000322040c634d822dea28e8.ts
华纳Warner TV,p5p://fccs.123178.top:9906/604414f400055b780004bcfa6ee82d22.ts
华藏卫视,p5p://fccs.123178.top:9906/60463e4f0004c7480876484c7d16a8e0.ts
互动新闻台,p5p://fccs.123178.top:9906/615adefa000969a80447270684f41d26.ts
好消息2台,p5p://fccs.123178.top:9906/61de2ff5000b47201970bc1d2ee8eb2f.ts
好消息,p5p://fccs.123178.top:9906/60b575c30003189a05772bc6fbb8fc4f.ts
好莱坞电影,p5p://fccs.123178.top:9906/614953030008709d0d8523c592e3c647.ts
韩国娱乐台KMTV,p5p://fccs.123178.top:9906/606bcab100003ef205c38d91720ec13b.ts
国兴卫视,p5p://fccs.123178.top:9906/6044d406000399b302ef1ad77f59ca13.ts
国家野生,p5p://fccs.123178.top:9906/604401050005fe790996ca7b4ed24991.ts
国家地理人文,p5p://fccs.123178.top:9906/6043ffe3000c6f3709925f52585be323.ts
国家地理,p5p://fccs.123178.top:9906/6043485f000c065106c583978afda437
光影欧洲,p5p://fccs.123178.top:9906/604420030008e014002ff07922c6f89b.ts
公视3HD,p5p://fccs.123178.top:9906/615cf07e0008bb700c5b9279f928a1c0.ts
公视2HD,p5p://fccs.123178.top:9906/615cefb3000992f10c5879b8a9027fe8.ts
公视 HD,p5p://fccs.123178.top:9906/615cef60000555d20c57346a9856fc87.ts
