体育频道,#genre#
EUROSPORT 1 FHD,http://cineapp.org:8000/mag00:1A:79:6E:C6:A8/e48uCbOtLv/9541
EUROSPORT 1,http://cineapp.org:8000/mag00:1A:79:6E:C6:A8/e48uCbOtLv/858
Eurosport 1 HD,http://kisamelotoparioer.org:8080/Rabben02/oN9So5gveq/135070
Rai 4 FHD,http://kisamelotoparioer.org:8080/Rabben02/oN9So5gveq/135107
Rai 4 HD,http://kisamelotoparioer.org:8080/Rabben02/oN9So5gveq/135108
#__#
TNTSPORTS 1,https://glxlmn026c.singularcdn.net.br/playout_01/playlist-720p.m3u8
TNTSPORTS 2,https://glxlmn026c.singularcdn.net.br/playout_02/playlist-720p.m3u8
TNTSPORTS 3,https://glxlmn026c.singularcdn.net.br/playout_03/playlist-720p.m3u8
TNTSPORTS 4,https://glxlmn026c.singularcdn.net.br/playout_04/playlist-720p.m3u8
TNTSPORTS 5,https://glxlmn026c.singularcdn.net.br/playout_05/playlist-720p.m3u8
