台湾频道,#genre#
wakuwaku,http://59.125.101.187:8538/http/60.251.39.91:8081/hls/61/803/ch03.m3u8
东森幼幼台,http://59.125.101.187:8515/http/61.221.81.94:8088/hls/63/805/ch09.m3u8
三立都会台,http://59.125.101.187:8522/http/60.251.39.91:8081/hls/65/807/ch19.m3u8
龙华日韩台,http://59.125.101.187:8535/http/59.120.8.187:8066/hls/210/10011/cstv11.m3u8
龙华卡通,http://59.125.101.187:8528/http/59.120.8.187:8066/hls/210/10013/cstv13.m3u8
CNBCHongKong,http://59.125.101.187:8550/http/116.50.42.19:8078/hls/24/80/cnbc90.m3u8
#__#
wakuwaku,http://59.125.101.187:8538/http/192.168.77.24:8081/hls/61/803/ch03.m3u8
东森财经新闻台,http://59.125.101.187:8515/http/192.168.77.24:8088/hls/63/805/ch09.m3u8
三立都会台,http://59.125.101.187:8522/http/192.168.77.24:8081/hls/65/807/ch19.m3u8
龙华日韩台,http://59.125.101.187:8535/http/59.120.8.187:8066/hls/210/10011/cstv11.m3u8
寰宇新闻,http://59.125.101.187:8528/http/192.168.77.24:8066/hls/210/10013/cstv13.m3u8
#__#
中天娱乐台,http://60.250.91.85:8585/.m3u8
TLC旅游生活频道,http://60.250.91.85:8589/.m3u8
CINEMAX,http://60.250.91.85:8590/.m3u8
Discovery,http://60.250.91.85:8588/.m3u8
#__#
原住民频道,http://streamipcf.akamaized.net/live/_definst_/live_720/key_b1500.m3u8
#__#
民视,rtmp://59.124.75.138/sat/tv051
台视,rtmp://59.124.75.138/sat/tv071
中视,rtmp://59.124.75.138/sat/tv091
华视,rtmp://59.124.75.138/sat/tv111
TVBS欢乐台,rtmp://59.124.75.138/sat/tv421
MoMo综合台,rtmp://59.124.75.138/sat/tv761
纬来育乐台,rtmp://59.124.75.138/sat/tv701
纬来日本台,rtmp://59.124.75.138/sat/tv771
民视,rtmp://59.124.75.157/sat/tv051
台视,rtmp://59.124.75.157/sat/tv071
中视,rtmp://59.124.75.157/sat/tv091
华视,rtmp://59.124.75.157/sat/tv111
TVBS欢乐台,rtmp://59.124.75.157/sat/tv421
MoMo综合台,rtmp://59.124.75.157/sat/tv761
纬来育乐台,rtmp://59.124.75.157/sat/tv701
纬来日本台,rtmp://59.124.75.157/sat/tv771

