影视频道,#genre#
東森戲劇台,rtmp://45.92.126.226/channel/60b4e50239e1b02e8b910d88
HBO 原創鉅獻,rtmp://45.92.126.226/channel/60c2f6ca961593122ebaf8dc
HBO 強檔鉅獻,rtmp://45.92.126.226/channel/60b4e50239e1b02e8b910cce
Thrill,rtmp://45.92.126.226/channel/60c30d59961593122ebaf8e6
靖天映畫,rtmp://45.92.126.226/channel/60c34395961593122ebaf994
靖天電影台,rtmp://45.92.126.226/channel/60b4e50239e1b02e8b910d58
八大戲劇台,rtmp://45.83.118.242/channel/60c31d53961593122ebaf92f
FOX MOVIES,rtmp://45.92.126.226/channel/60b4e50239e1b02e8b910ca8
AXN,rtmp://45.88.148.178/channel/60b4e50239e1b02e8b910c9c
CatchPlay電影台,rtmp://45.88.148.178/channel/60b4e50239e1b02e8b910d2a
采昌影劇台,rtmp://45.88.148.178/channel/60b4e50239e1b02e8b910cd4
靖天映畫,rtmp://45.92.126.226/channel/60c34395961593122ebaf994
TVB星河頻道,rtmp://45.92.126.226/channel/60b4e50239e1b02e8b910d7a
天映经典频道,rtmp://45.88.148.178/channel/61002e1ff0618408855f3711
天映电影,rtmp://45.88.148.178/channel/61002e1ff0618408855f3711
My Cinema Europe HD 我的歐洲電影,rtmp://45.88.148.178/channel/60c2f712961593122ebaf8de
私人影院,rtmp://45.88.148.178/channel/610006dcf0618408855f36bd
#__#
FOX MOVIES,http://60.251.59.180:8543/xoxo.m3u8

