🇰🇷韩国频道,#genre#
KBS-1,http://ye23.vip/z7z8/2021/kbs2020.php?id=1
KBS-2,http://ye23.vip/z7z8/2021/kbs2020.php?id=2
KBS-24,http://ye23.vip/z7z8/2021/kbs2020.php?id=4
KBS-WORLD,http://ye23.vip/z7z8/2021/kbs2020.php?id=3
KBS drama,http://ye23.vip/z7z8/2021/kbs2020.php?id=5
KBS JOY,http://ye23.vip/z7z8/2021/kbs2020.php?id=6
KBS N ,http://ye23.vip/z7z8/2021/kbs2020.php?id=7
KBS W,http://ye23.vip/z7z8/2021/kbs2020.php?id=8
KBS Kids,http://ye23.vip/z7z8/2021/kbs2020.php?id=9
#__#
SBS,http://ye23.win/iptv/sbs5.1.php?id=S01
SBS-Sports,http://ye23.win/iptv/sbs5.1.php?id=S02
SBS-Plus,http://ye23.win/iptv/sbs5.1.php?id=S03
SBS-Fun,http://ye23.win/iptv/sbs5.1.php?id=S04
SBS-Golf,http://ye23.win/iptv/sbs5.1.php?id=S05
SBS-MTV,http://ye23.win/iptv/sbs5.1.php?id=S09
#__#
KBC SBS,http://ye23.win/iptv/korea2021.php?id=KBC
SBS,http://ye23.win/iptv/korea2021.php?id=SBS
TJB SBS,http://ye23.win/iptv/korea2021.php?id=TJB
CJB SBS,http://ye23.win/iptv/korea2021.php?id=CJB
Good TV,http://ye23.win/iptv/korea2021.php?id=Good
TBS,http://ye23.win/iptv/korea2021.php?id=TBS-a
YTN,http://ye23.win/iptv/korea2021.php?id=ytn
YTN A,http://ye23.win/iptv/korea2021.php?id=YTN_a
Channel A,http://ye23.win/iptv/korea2021.php?id=Channela
Channel A,http://ye23.win/iptv/korea2021.php?id=Channel
korea TV,http://ye23.win/iptv/korea2021.php?id=korea
KCTV,http://ye23.win/iptv/korea2021.php?id=KCTV
阿里郎WORLD,http://ye23.win/iptv/korea2021.php?id=arirang_1
阿里郎WORLD,http://ye23.win/iptv/korea2021.php?id=arirang_2
EBS 1,http://ye23.win/iptv/korea2021.php?id=EBS1
EBS 2,http://ye23.win/iptv/korea2021.php?id=EBS2
EBS i,http://ye23.win/iptv/korea2021.php?id=EBSi
EBS+2,http://ye23.win/iptv/korea2021.php?id=EBS_2
EBS E,http://ye23.win/iptv/korea2021.php?id=EBS_E
EBS KIDS,http://ye23.win/iptv/korea2021.php?id=EBS_KIDS
#__#
EBS 1,https://ebsonair.ebs.co.kr/groundwavefamilypc/familypc1m/playlist.m3u8
EBS 2,https://ebsonair.ebs.co.kr/ebs2familypc/familypc1m/playlist.m3u8
EBS i,https://ebsonair.ebs.co.kr/plus1familypc/familypc1m/playlist.m3u8
EBS+2,https://ebsonair.ebs.co.kr/plus2familypc/familypc1m/playlist.m3u8
EBS E,https://ebsonair.ebs.co.kr/plus3familypc/familypc1m/playlist.m3u8
EBS KIDS,https://ebsonair.ebs.co.kr/ebsufamilypc/familypc1m/playlist.m3u8
#__#
KBC 광주방송(SBS 光州),http://119.200.131.11:1935/KBCTV/tv/playlist.m3u8
YTN,http://slive.ytn.co.kr/ytn/_definst_/ytn_stream_20190306/playlist.m3u8
가요TV,http://gayotv.net:1935/live/gayotv/playlist.m3u8
국악방송,http://mgugaklive.nowcdn.co.kr/gugakvideo/gugakvideo.stream/playlist.m3u8
춘천MBC(MBC Chuncheon),https://5c74939c891dc.streamlock.net/live/TV/playlist.m3u8
CGNTV,http://cgntv-glive.ofsdelivery.net/live/_definst_/cgntv_kr02/chunklist.m3u8
Maeil Business Newspaper,rtmp://origin.flive.skcdn.com/mbn-auth1/1000k
MTN,http://183.110.27.87/mtnlive/_definst_/720/chunklist.m3u8
NBS Korea Agricultural Broadcasting,https://media.joycorp.co.kr:4443/live/live_720p/playlist.m3u8
TJB 대전방송(SBS 大田),http://1.245.74.5:1935/live/tv/.m3u8
대전MBC(MBC Daejeon),https://5c482867a8b63.streamlock.net/live/myStream.sdp/playlist.m3u8
여수MBC(MBC Yeosu),https://5c3639aa99149.streamlock.net/live_TV/TV/playlist.m3u8
선거방송,http://necgokr2-724.acs.wecandeo.com/ms/2528/724/index_1.m3u8
KCTV,http://119.77.96.184:1935/chn05/chn05/chunklist.m3u8
KCTV,http://119.77.96.184:1935/chn21/chn21/playlist.m3u8
Arirang,http://amdlive-ch01.ctnd.com.edgesuite.net/arirang_1ch/smil:arirang_1ch.smil/chunklist.m3u8
ONe,http://93.190.139.35:8278/streams/d/One/playlist.m3u8
Arirang,,http://58.99.33.16:1935/liveedge17/live_158_3.stream/chunklist.m3u8
KBS Wrold,http://50.7.161.82:8278/streams/d/KBS/playlist.m3u8
