音乐频道,#genre#
Sexy K-Pop,https://srv1.zcast.com.br/kpoptv/kpoptv/.m3u8
kroneHit,https://bitcdn-kronehit.bitmovin.com/v2/hls/chunklist_b3128000.m3u8
#__#
古典音樂台CLASSICA HD,http://tw.hstv.pro/litv/litvts.php?ts=hi/vod/gKlG4MHqo74/4gtv-4gtv059-avc1_2000000=1-mp4a_129000_zho=2.m3u8
古典音樂台CLASSICA HD,http://tw.hstv.pro/litv/litvts.php?id=4gtv-4gtv059
Trace Urban,http://tw.hstv.pro/litv/litvts.php?ts=hi/vod/Ix-jwJF7Css/4gtv-4gtv082-avc1_6000000=1-mp4a_125000_zho=2.m3u8
Trace Urban,http://tw.hstv.pro/litv/litvts.php?id=4gtv-4gtv082
Mezzo Live HD,http://tw.hstv.pro/litv/litvts.php?ts=hi/vod/nm30SHx8fXk/4gtv-4gtv083-avc1_2000000=1-mp4a_132000_zho=2.m3u8
Mezzo Live HD,http://tw.hstv.pro/litv/litvts.php?id=4gtv-4gtv083
Medici-arts,http://tw.hstv.pro/litv/litvts.php?ts=hi/vod/zL151yA6XXk/litv-longturn16-audio_20000=65600-video=6000000.m3u8
Medici-arts,http://tw.hstv.pro/litv/litvts.php?id=litv-longturn16


