新闻频道,#genre#
民視新聞台,http://50.7.61.148:30080/Entry/ftvnews
#__#
中天新聞台,http://tw.hstv.pro/litv/litvts.php?ts=hi/vod/3jwns5sFuXQ/4gtv-4gtv009-avc1_6000000=2-mp4a_132000=7.m3u8
中天新聞台,http://tw.hstv.pro/litv/litvts.php?id=4gtv-4gtv009
非凡新聞台,http://tw.hstv.pro/litv/litvts.php?ts=hi/vod/dUoLeOBWL8s/4gtv-4gtv010-avc1_6000000=1-mp4a_125000_zho=2.m3u8
非凡新聞台,http://tw.hstv.pro/litv/litvts.php?id=4gtv-4gtv010
非凡商業台,http://tw.hstv.pro/litv/litvts.php?ts=hi/vod/PeBiQTjbxbk/4gtv-4gtv048-avc1_6000000=1-mp4a_122000_zho=2.m3u8
非凡商業台,http://tw.hstv.pro/litv/litvts.php?id=4gtv-4gtv048
台視新聞台,http://tw.hstv.pro/litv/litvts.php?ts=hi/vod/K9R3-fzKYDI/4gtv-4gtv051-avc1_6000000=1-mp4a_141000_zho=2.m3u8
台視新聞台,http://tw.hstv.pro/litv/litvts.php?id=4gtv-4gtv051
華視新聞資訊台,http://tw.hstv.pro/litv/litvts.php?ts=hi/vod/uDjRkxIeBLo/4gtv-4gtv052-avc1_6000000=1-mp4a_124000_zho=2.m3u8
華視新聞資訊台,http://tw.hstv.pro/litv/litvts.php?id=4gtv-4gtv052
台視財經台,http://tw.hstv.pro/litv/litvts.php?ts=hi/vod/qB8SZnrXEuo/4gtv-4gtv056-avc1_6000000=1-mp4a_124000_zho=2.m3u8
台視財經台,http://tw.hstv.pro/litv/litvts.php?id=4gtv-4gtv056
TVBS新闻台,http://tw.hstv.pro/litv/litvts.php?ts=hi/vod/taBieFx_WZY/4gtv-4gtv072-avc1_6000000=1-mp4a_134000_zho=2.m3u8
TVBS新闻台,http://tw.hstv.pro/litv/litvts.php?id=4gtv-4gtv072
TVBS,http://tw.hstv.pro/litv/litvts.php?ts=hi/vod/JF0WpGlU-BU/4gtv-4gtv073-avc1_6000000=1-mp4a_135000_zho=2.m3u8
TVBS,http://tw.hstv.pro/litv/litvts.php?id=4gtv-4gtv073
中視新聞台,http://tw.hstv.pro/litv/litvts.php?ts=hi/vod/ehUwbjn_QYg/4gtv-4gtv074-avc1_6000000=1-mp4a_140000_zho=2.m3u8
中視新聞台,http://tw.hstv.pro/litv/litvts.php?id=4gtv-4gtv074
Arirang TV,http://tw.hstv.pro/litv/litvts.php?ts=hi/vod/dbqmse3-DlE/4gtv-4gtv079-avc1_6000000=1-mp4a_130000_zho=2.m3u8
Arirang TV,http://tw.hstv.pro/litv/litvts.php?id=4gtv-4gtv079
寰宇新聞台,http://tw.hstv.pro/litv/litvts.php?ts=hi/vod/yNZoa04lFXc/litv-longturn14-audio_20000=117000-video=6000000.m3u8
寰宇新聞台,http://tw.hstv.pro/litv/litvts.php?id=litv-longturn14
寰宇新聞台灣台,http://tw.hstv.pro/litv/litvts.php?ts=hi/vod/WUC55ejuU_0/litv-longturn15-audio_20000=64000-video=6000000.m3u8
寰宇新聞台灣台,http://tw.hstv.pro/litv/litvts.php?id=litv-longturn15
