台湾频道,#genre#
民視,rtmp://59.124.75.138/sat/tv051
台視,rtmp://59.124.75.138/sat/tv071
中視,rtmp://59.124.75.138/sat/tv091
華視,rtmp://59.124.75.138/sat/tv111
TVBS歡樂台,rtmp://59.124.75.138/sat/tv421
MoMo綜合台,rtmp://59.124.75.138/sat/tv761
緯來育樂台,rtmp://59.124.75.138/sat/tv701
緯來日本台,rtmp://59.124.75.138/sat/tv771
民視,rtmp://59.124.75.157/sat/tv051
台視,rtmp://59.124.75.157/sat/tv071
中視,rtmp://59.124.75.157/sat/tv091
華視,rtmp://59.124.75.157/sat/tv111
TVBS歡樂台,rtmp://59.124.75.157/sat/tv421
MoMo綜合台,rtmp://59.124.75.157/sat/tv761
緯來育樂台,rtmp://59.124.75.157/sat/tv701
緯來日本台,rtmp://59.124.75.157/sat/tv771
民視,rtmp://9wv7.mine.nu/sat/tv051
台視,rtmp://9wv7.mine.nu/sat/tv071
中視,rtmp://9wv7.mine.nu/sat/tv091
華視,rtmp://9wv7.mine.nu/sat/tv111
TVBS歡樂台,rtmp://9wv7.mine.nu/sat/tv421
MoMo綜合台,rtmp://9wv7.mine.nu/sat/tv761
緯來育樂台,rtmp://9wv7.mine.nu/sat/tv701
緯來日本台,rtmp://9wv7.mine.nu/sat/tv771
#__#
民視,rtmp://45.92.126.226/channel/60c317bd961593122ebaf90a
台視,rtmp://104.149.141.122/channel/60b4e50239e1b02e8b910c44
中視,rtmp://45.92.126.114/channel/60c3166c961593122ebaf8fe
中視經典台,rtmp://45.88.148.178/channel/60c31708961593122ebaf902
華視,rtmp://45.88.148.122/channel/60b4e50239e1b02e8b910c4c
華視教育體育文化台,rtmp://45.88.148.178/channel/60b4e50239e1b02e8b910c4e
公視,rtmp://45.92.126.114/channel/60c3176f961593122ebaf906
靖天綜合台,rtmp://45.92.126.226/channel/60b4e50239e1b02e8b910d50
公視台語台,rtmp://45.92.126.226/channel/60c31796961593122ebaf908
公視3台,rtmp://45.88.148.178/channel/60b4e50239e1b02e8b910c3e
星衛娛樂台,rtmp://45.88.148.178/channel/60b4e50239e1b02e8b910d3c
原住民族電視台,rtmp://45.88.148.122/channel/60b4e50239e1b02e8b910c42
客家電視台,rtmp://45.92.126.226/channel/61003b23f0618408855f3748
三立台灣台,rtmp://45.92.126.226/channel/60b4e50239e1b02e8b910c78
三立都會台,rtmp://45.92.126.226/channel/60c53f4a961593122ebafa48
衛視中文台,rtmp://45.88.148.178/channel/60b4e50239e1b02e8b910cc4
JET綜合台,rtmp://45.88.148.178/channel/60b4e50239e1b02e8b910c74
緯來育樂台,rtmp://45.92.126.226/channel/60c31357961593122ebaf8f8
