付费频道_121,#genre#

电视频道,#genre#
台視新聞台,http://seb.sason.top/sc/tsxw_fhd.m3u8
華視新聞資訊台,http://seb.sason.top/sc/hsxw_fhd.m3u8
三立新聞台,http://seb.sason.top/sc/sllive_fhd.m3u8
三立inews新闻,http://seb.sason.top/sc/slinews_fhd.m3u8
#__#
民視,http://seb.sason.top/ptv/ftv.php?id=ms
民視台灣台,http://seb.sason.top/ptv/ftv.php?id=tw
民視第一台,http://seb.sason.top/ptv/ftv.php?id=dy
民视影剧台,http://seb.sason.top/ptv/ftv.php?id=yj
民视旅游台,http://seb.sason.top/ptv/ftv.php?id=ly
民视综艺台,http://seb.sason.top/ptv/ftv.php?id=zy
#__#
民視新聞台,https://git.io/JgkAb
台視新聞台,https://git.io/JgkxY
中視新聞台,https://git.io/Jgkxz
三立LIVE新闻,https://git.io/Jgkxp
三立inews新闻,https://git.io/Jgkxj
#__#
華視新聞資訊台,https://raw.githubusercontent.com/StanleyChen0924/Myself/YTlive/hsxw.m3u8
#__#
三立台灣台,http://125.227.210.55:15714/VideoInput/play.ts
三立新聞台,http://125.227.210.55:15589/VideoInput/play.ts
三立新聞台,http://125.227.210.37:15589/VideoInput/play.ts
#__#
民視,http://50.7.61.147:30080/Entry/ftv
台視,http://50.7.61.148:30080/Entry/ttv
中視,http://50.7.61.148:30080/Entry/ctv
華視,http://50.7.61.147:30080/Entry/cts
三立台灣台,http://50.7.61.148:30080/Entry/settw-
衛視中文台,http://50.7.61.148:30080/Entry/starchinese
民視新聞台,http://50.7.61.148:30080/Entry/ftvnews
#__#
民視台灣台,http://tw.hstv.pro/litv/litvts.php?id=4gtv-4gtv001
民視,http://tw.hstv.pro/litv/litvts.php?id=4gtv-4gtv002
民視第一台,http://tw.hstv.pro/litv/litvts.php?id=4gtv-4gtv003
民视综艺台,http://tw.hstv.pro/litv/litvts.php?id=4gtv-4gtv004
中天新聞台,http://tw.hstv.pro/litv/litvts.php?id=4gtv-4gtv009
非凡新聞台,http://tw.hstv.pro/litv/litvts.php?id=4gtv-4gtv010
影迷數位電影台,http://tw.hstv.pro/litv/litvts.php?id=4gtv-4gtv011
視納華仁紀實台,http://tw.hstv.pro/litv/litvts.php?id=4gtv-4gtv013
時尚運動X,http://tw.hstv.pro/litv/litvts.php?id=4gtv-4gtv014
韓國娛樂台KMTV,http://tw.hstv.pro/litv/litvts.php?id=4gtv-4gtv016
達文西頻道,http://tw.hstv.pro/litv/litvts.php?id=4gtv-4gtv018
八大綜合台,http://tw.hstv.pro/litv/litvts.php?id=4gtv-4gtv039
中視,http://tw.hstv.pro/litv/litvts.php?id=4gtv-4gtv040
華視,http://tw.hstv.pro/litv/litvts.php?id=4gtv-4gtv041
公視戲劇,http://tw.hstv.pro/litv/litvts.php?id=4gtv-4gtv042
客家電視台,http://tw.hstv.pro/litv/litvts.php?id=4gtv-4gtv043
靖天卡通台,http://tw.hstv.pro/litv/litvts.php?id=4gtv-4gtv044
靖洋戲劇台,http://tw.hstv.pro/litv/litvts.php?id=4gtv-4gtv045
靖天綜合台,http://tw.hstv.pro/litv/litvts.php?id=4gtv-4gtv046
靖天日本台,http://tw.hstv.pro/litv/litvts.php?id=4gtv-4gtv047
非凡商業台,http://tw.hstv.pro/litv/litvts.php?id=4gtv-4gtv048
采昌影劇台,http://tw.hstv.pro/litv/litvts.php?id=4gtv-4gtv049
台視新聞台,http://tw.hstv.pro/litv/litvts.php?id=4gtv-4gtv051
華視新聞資訊台,http://tw.hstv.pro/litv/litvts.php?id=4gtv-4gtv052
GINXeSportsTV,http://tw.hstv.pro/litv/litvts.php?id=4gtv-4gtv053
Nice TV 靖天歡樂台,http://tw.hstv.pro/litv/litvts.php?id=4gtv-4gtv054
靖天映畫,http://tw.hstv.pro/litv/litvts.php?id=4gtv-4gtv055
台視財經台,http://tw.hstv.pro/litv/litvts.php?id=4gtv-4gtv056
靖洋卡通台Nice Bingo,http://tw.hstv.pro/litv/litvts.php?id=4gtv-4gtv057
靖天戲劇台,http://tw.hstv.pro/litv/litvts.php?id=4gtv-4gtv058
古典音樂台CLASSICA HD,http://tw.hstv.pro/litv/litvts.php?id=4gtv-4gtv059
靖天電影台,http://tw.hstv.pro/litv/litvts.php?id=4gtv-4gtv061
靖天育樂台,http://tw.hstv.pro/litv/litvts.php?id=4gtv-4gtv062
KLT-靖天國際台,http://tw.hstv.pro/litv/litvts.php?id=4gtv-4gtv063
中視菁采台,http://tw.hstv.pro/litv/litvts.php?id=4gtv-4gtv064
